gnucap> pr ac vdb(vout)
gnucap> op
#          
 27.       
gnucap> ac 1 10k 10 decade
#Freq       vdb(vout) 
 1.        -60.023    
 1.2589    -58.023    
 1.5849    -56.023    
 1.9953    -54.023    
 2.5119    -52.023    
 3.1623    -50.023    
 3.9811    -48.023    
 5.0119    -46.023    
 6.3096    -44.023    
 7.9433    -42.023    
 10.       -40.023    
 12.589    -38.024    
 15.849    -36.024    
 19.953    -34.025    
 25.119    -32.026    
 31.623    -30.027    
 39.811    -28.03     
 50.119    -26.034    
 63.096    -24.04     
 79.433    -22.05     
 100.      -20.066    
 125.89    -18.091    
 158.49    -16.13     
 199.53    -14.192    
 251.19    -12.288    
 316.23    -10.436    
 398.11    -8.6602    
 501.19    -6.9937    
 630.96    -5.4748    
 794.33    -4.1426    
 1.K       -3.0272    
 1.2589K   -2.1401    
 1.5849K   -1.4702    
 1.9953K   -0.9877    
 2.5119K   -0.65375   
 3.1623K   -0.43006   
 3.9811K   -0.28447   
 5.0119K   -0.1928    
 6.3096K   -0.1384    
 7.9433K   -0.11083   
 10.K      -0.10463   
gnucap> 
