#Time       v(vout)   
 201.E-6    7.1781    
 201.02E-6  10.941    
 201.04E-6  10.478    
 201.06E-6  6.2059    
 201.08E-6  1.2018    
 201.1E-6  -1.3882    
 201.12E-6  0.92655   
 201.14E-6  6.2329    
 201.16E-6  10.549    
 201.18E-6  10.954    
 201.2E-6   7.209     
 201.21E-6  2.0091    
 201.23E-6 -1.3657    
 201.25E-6  0.42102   
 201.27E-6  5.5265    
 201.29E-6  10.141    
 201.31E-6  11.082    
 201.33E-6  7.7381    
 201.35E-6  2.605     
 201.37E-6 -1.4534    
 201.39E-6 -0.15438   
 201.41E-6  4.788     
 201.43E-6  9.7345    
 201.45E-6  11.324    
 201.47E-6  8.4648    
 201.49E-6  3.2558    
 201.51E-6 -1.4342    
 201.53E-6 -0.54219   
 201.55E-6  4.0879    
 201.57E-6  9.2487    
 201.59E-6  11.338    
 201.61E-6  8.9621    
 201.62E-6  3.8766    
 201.64E-6 -1.3508    
 201.66E-6 -0.9141    
 201.68E-6  3.1711    
 201.7E-6   8.5372    
 201.72E-6  11.324    
 201.74E-6  9.6408    
 201.76E-6  4.7588    
 201.78E-6 -1.1316    
 201.8E-6  -1.0351    
 201.82E-6  2.4949    
 201.84E-6  7.8907    
 201.86E-6  11.158    
 201.88E-6  10.058    
 201.9E-6   5.4551    
 201.92E-6 -0.87766   
 201.94E-6 -1.0713    
 201.96E-6  2.1302    
 201.98E-6  7.4521    
 202.E-6    10.953    
 202.02E-6  10.228    
 202.04E-6  5.8734    
 202.05E-6  0.60991   
 202.07E-6 -1.3095    
 202.09E-6  1.2908    
 202.11E-6  6.6852    
 202.13E-6  10.774    
 202.15E-6  10.801    
 202.17E-6  6.7909    
 202.19E-6  1.6236    
 202.21E-6 -1.3929    
 202.23E-6  0.70962   
 202.25E-6  5.9571    
 202.27E-6  10.422    
 202.29E-6  11.02     
 202.31E-6  7.4019    
 202.33E-6  2.1919    
 202.35E-6 -1.3907    
 202.37E-6  0.24376   
 202.39E-6  5.3074    
 202.41E-6  10.019    
 202.43E-6  11.18     
 202.45E-6  8.0008    
 202.46E-6  2.8461    
 202.48E-6 -1.4571    
 202.5E-6   0.090783  
 202.52E-6  4.8648    
 202.54E-6  9.6181    
 202.56E-6  11.065    
 202.58E-6  8.2514    
 202.6E-6   3.2336    
 202.62E-6 -1.5066    
 202.64E-6 -0.41232   
 202.66E-6  4.2304    
 202.68E-6  9.3032    
 202.7E-6   11.268    
 202.72E-6  8.8196    
 202.74E-6  3.7623    
 202.76E-6 -1.355     
 202.78E-6 -0.8762    
 202.8E-6   3.297     
 202.82E-6  8.648     
 202.84E-6  11.343    
 202.86E-6  9.5562    
 202.87E-6  4.6323    
 202.89E-6 -1.1722    
 202.91E-6 -1.0237    
 202.93E-6  2.5747    
 202.95E-6  7.9783    
 202.97E-6  11.192    
 202.99E-6  10.019    
 203.01E-6  5.3723    
 203.03E-6 -0.94079   
 203.05E-6 -1.0651    
 203.07E-6  2.1329    
 203.09E-6  7.445     
 203.11E-6  10.942    
 203.13E-6  10.22     
 203.15E-6  5.8746    
 203.17E-6  0.64942   
 203.19E-6 -1.3124    
 203.21E-6  1.285     
 203.23E-6  6.6727    
 203.25E-6  10.777    
 203.27E-6  10.771    
 203.29E-6  6.7387    
 203.3E-6   1.5834    
 203.32E-6 -1.3848    
 203.34E-6  0.72523   
 203.36E-6  5.9705    
 203.38E-6  10.432    
 203.4E-6   11.014    
 203.42E-6  7.3897    
 203.44E-6  2.2199    
 203.46E-6 -1.3836    
 203.48E-6  0.2287    
 203.5E-6   5.2483    
 203.52E-6  9.9767    
 203.54E-6  11.149    
 203.56E-6  8.0083    
 203.58E-6  2.8818    
 203.6E-6  -1.44      
 203.62E-6 -0.33144   
 203.64E-6  4.4628    
 203.66E-6  9.4967    
 203.68E-6  11.337    
 203.7E-6   8.7149    
 203.71E-6  3.5627    
 203.73E-6 -1.4248    
 203.75E-6 -0.86223   
 203.77E-6  3.4165    
 203.79E-6  8.7786    
 203.81E-6  11.393    
