#Time       v(vout)   
 0.         5.        
 1.E-9      4.9985    
 2.E-9      4.997     
 3.E-9      4.9956    
 4.E-9      4.9941    
 5.E-9      4.9927    
 6.E-9      4.9913    
 7.E-9      4.9899    
 8.E-9      4.9886    
 9.E-9      4.9873    
 10.E-9     4.986     
 11.E-9     4.9849    
 12.E-9     4.9838    
 13.E-9     4.9827    
 14.E-9     4.9818    
 15.E-9     4.9809    
 16.E-9     4.9802    
 17.E-9     4.9795    
 18.E-9     4.979     
 19.E-9     4.9786    
 20.E-9     4.9783    
 21.E-9     4.9782    
 22.E-9     4.9782    
 23.E-9     4.9783    
 24.E-9     4.9786    
 25.E-9     4.9791    
 26.E-9     4.9797    
 27.E-9     4.9805    
 28.E-9     4.9815    
 29.E-9     4.9826    
 30.E-9     4.984     
 31.E-9     4.9854    
 32.E-9     4.9871    
 33.E-9     4.9889    
 34.E-9     4.9909    
 35.E-9     4.9931    
 36.E-9     4.9954    
 37.E-9     4.9979    
 38.E-9     5.0005    
 39.E-9     5.0032    
 40.E-9     5.0061    
 41.E-9     5.0091    
 42.E-9     5.0122    
 43.E-9     5.0154    
 44.E-9     5.0187    
 45.E-9     5.022     
 46.E-9     5.0254    
 47.E-9     5.0289    
 48.E-9     5.0323    
 49.E-9     5.0358    
 50.E-9     5.0393    
 51.E-9     5.0427    
 52.E-9     5.0461    
 53.E-9     5.0495    
 54.E-9     5.0528    
 55.E-9     5.056     
 56.E-9     5.059     
 57.E-9     5.062     
 58.E-9     5.0648    
 59.E-9     5.0674    
 60.E-9     5.0698    
 61.E-9     5.072     
 62.E-9     5.074     
 63.E-9     5.0757    
 64.E-9     5.0771    
 65.E-9     5.0782    
 66.E-9     5.079     
 67.E-9     5.0795    
 68.E-9     5.0795    
 69.E-9     5.0792    
 70.E-9     5.0784    
 71.E-9     5.0771    
 72.E-9     5.0753    
 73.E-9     5.073     
 74.E-9     5.0702    
 75.E-9     5.0667    
 76.E-9     5.0625    
 77.E-9     5.0577    
 78.E-9     5.0522    
 79.E-9     5.0459    
 80.E-9     5.0389    
 81.E-9     5.0309    
 82.E-9     5.0222    
 83.E-9     5.0125    
 84.E-9     5.0019    
 85.E-9     4.9903    
 86.E-9     4.9778    
 87.E-9     4.9643    
 88.E-9     4.9499    
 89.E-9     4.9345    
 90.E-9     4.9182    
 91.E-9     4.9011    
 92.E-9     4.8832    
 93.E-9     4.8646    
 94.E-9     4.8456    
 95.E-9     4.8261    
 96.E-9     4.8064    
 97.E-9     4.7867    
 98.E-9     4.7672    
 99.E-9     4.7481    
 100.E-9    4.7298    
 101.E-9    4.7124    
 102.E-9    4.6962    
